,id,from,at,to,open,close,min,max,volume
2021-07-27 18:20:00,1339024.0,1627410000.0,1.627410060002964e+18,1627410060.0,1.26942,1.26928,1.26928,1.26945,65.0
2021-07-27 18:21:00,1339025.0,1627410060.0,1.6274101200002598e+18,1627410120.0,1.26931,1.26929,1.26927,1.26939,59.0
2021-07-27 18:22:00,1339026.0,1627410120.0,1.6274101800040264e+18,1627410180.0,1.26928,1.26935,1.26915,1.26937,72.0
2021-07-27 18:23:00,1339027.0,1627410180.0,1.6274102400015196e+18,1627410240.0,1.26935,1.26929,1.26925,1.26935,38.0
2021-07-27 18:24:00,1339028.0,1627410240.0,1.6274103000024886e+18,1627410300.0,1.2693,1.26921,1.26921,1.26937,52.0
2021-07-27 18:25:00,1339029.0,1627410300.0,1.6274103600019894e+18,1627410360.0,1.26923,1.26919,1.26918,1.26928,54.0
2021-07-27 18:26:00,1339030.0,1627410360.0,1.6274104200030587e+18,1627410420.0,1.26919,1.26917,1.26913,1.26924,46.0
2021-07-27 18:27:00,1339031.0,1627410420.0,1.6274104800089523e+18,1627410480.0,1.26916,1.26913,1.26907,1.26916,38.0
2021-07-27 18:28:00,1339032.0,1627410480.0,1.6274105400004616e+18,1627410540.0,1.26913,1.26921,1.26913,1.26922,46.0
2021-07-27 18:29:00,1339033.0,1627410540.0,1.6274106000098788e+18,1627410600.0,1.26919,1.26929,1.26919,1.26931,37.0
2021-07-27 18:30:00,1339034.0,1627410600.0,1.627410660000631e+18,1627410660.0,1.26929,1.26925,1.26921,1.26931,45.0
2021-07-27 18:31:00,1339035.0,1627410660.0,1.627410720001319e+18,1627410720.0,1.26924,1.26929,1.26923,1.26931,50.0
2021-07-27 18:32:00,1339036.0,1627410720.0,1.627410780004684e+18,1627410780.0,1.2693,1.26937,1.26928,1.26941,42.0
2021-07-27 18:33:00,1339037.0,1627410780.0,1.627410840005685e+18,1627410840.0,1.26937,1.26933,1.26929,1.26939,54.0
2021-07-27 18:34:00,1339038.0,1627410840.0,1.6274109000081088e+18,1627410900.0,1.26933,1.26941,1.26929,1.26943,45.0
2021-07-27 18:35:00,1339039.0,1627410900.0,1.6274109600017928e+18,1627410960.0,1.26941,1.26941,1.26937,1.26944,47.0
2021-07-27 18:36:00,1339040.0,1627410960.0,1.627411020000084e+18,1627411020.0,1.26941,1.26927,1.26923,1.26942,48.0
2021-07-27 18:37:00,1339041.0,1627411020.0,1.6274110800004372e+18,1627411080.0,1.26927,1.26935,1.26925,1.26937,60.0
2021-07-27 18:38:00,1339042.0,1627411080.0,1.6274111400019233e+18,1627411140.0,1.26935,1.2693,1.2693,1.26939,44.0
2021-07-27 18:39:00,1339043.0,1627411140.0,1.6274112000127404e+18,1627411200.0,1.26929,1.26935,1.26926,1.26937,35.0
2021-07-27 18:40:00,1339044.0,1627411200.0,1.6274112600084913e+18,1627411260.0,1.26935,1.26927,1.26927,1.26936,33.0
2021-07-27 18:41:00,1339045.0,1627411260.0,1.6274113200070866e+18,1627411320.0,1.26929,1.26929,1.26924,1.26931,43.0
2021-07-27 18:42:00,1339046.0,1627411320.0,1.627411380008729e+18,1627411380.0,1.26931,1.26939,1.26929,1.26941,41.0
2021-07-27 18:43:00,1339047.0,1627411380.0,1.6274114400001595e+18,1627411440.0,1.26939,1.26937,1.26931,1.2694,29.0
2021-07-27 18:44:00,1339048.0,1627411440.0,1.627411500000194e+18,1627411500.0,1.26939,1.26936,1.26935,1.26941,31.0
2021-07-27 18:45:00,1339049.0,1627411500.0,1.6274115600113068e+18,1627411560.0,1.26937,1.26946,1.26932,1.26948,59.0
2021-07-27 18:46:00,1339050.0,1627411560.0,1.627411620000731e+18,1627411620.0,1.26945,1.2696,1.26937,1.2696,68.0
2021-07-27 18:47:00,1339051.0,1627411620.0,1.627411680001794e+18,1627411680.0,1.2696,1.26951,1.26943,1.26961,55.0
2021-07-27 18:48:00,1339052.0,1627411680.0,1.6274117400012047e+18,1627411740.0,1.26951,1.26964,1.26949,1.26964,50.0
2021-07-27 18:49:00,1339053.0,1627411740.0,1.6274118000000228e+18,1627411800.0,1.26963,1.26946,1.26946,1.26963,72.0
2021-07-27 18:50:00,1339054.0,1627411800.0,1.6274118600001208e+18,1627411860.0,1.26946,1.26949,1.26944,1.26953,30.0
2021-07-27 18:51:00,1339055.0,1627411860.0,1.6274119200000643e+18,1627411920.0,1.26947,1.26949,1.26935,1.2695,46.0
2021-07-27 18:52:00,1339056.0,1627411920.0,1.6274119800021358e+18,1627411980.0,1.26949,1.26938,1.26938,1.26958,41.0
2021-07-27 18:53:00,1339057.0,1627411980.0,1.6274120400017326e+18,1627412040.0,1.26937,1.26945,1.26937,1.26945,39.0
2021-07-27 18:54:00,1339058.0,1627412040.0,1.6274121000022454e+18,1627412100.0,1.26946,1.26942,1.26938,1.26947,21.0
2021-07-27 18:55:00,1339059.0,1627412100.0,1.6274121600001928e+18,1627412160.0,1.2694,1.26934,1.26927,1.2694,47.0
2021-07-27 18:56:00,1339060.0,1627412160.0,1.6274122200052654e+18,1627412220.0,1.26935,1.26943,1.26935,1.26945,33.0
2021-07-27 18:57:00,1339061.0,1627412220.0,1.6274122800065055e+18,1627412280.0,1.26944,1.26944,1.26943,1.26951,30.0
2021-07-27 18:58:00,1339062.0,1627412280.0,1.6274123400000568e+18,1627412340.0,1.26944,1.26953,1.26943,1.26953,16.0
2021-07-27 18:59:00,1339063.0,1627412340.0,1.6274124000012733e+18,1627412400.0,1.26953,1.26945,1.26945,1.26957,58.0
2021-07-27 19:00:00,1339064.0,1627412400.0,1.6274124600043779e+18,1627412460.0,1.26951,1.26943,1.26943,1.2696,60.0
2021-07-27 19:01:00,1339065.0,1627412460.0,1.6274125200013494e+18,1627412520.0,1.26945,1.26941,1.26933,1.26945,11.0
2021-07-27 19:02:00,1339066.0,1627412520.0,1.6274125800010506e+18,1627412580.0,1.26943,1.26939,1.26937,1.26943,12.0
2021-07-27 19:03:00,1339067.0,1627412580.0,1.627412640003527e+18,1627412640.0,1.26939,1.26939,1.26937,1.26945,39.0
2021-07-27 19:04:00,1339068.0,1627412640.0,1.6274127000038418e+18,1627412700.0,1.26939,1.26943,1.26938,1.26946,25.0
2021-07-27 19:05:00,1339069.0,1627412700.0,1.6274127600002307e+18,1627412760.0,1.26943,1.26944,1.2694,1.26953,42.0
2021-07-27 19:06:00,1339070.0,1627412760.0,1.6274128200008294e+18,1627412820.0,1.26943,1.26943,1.2694,1.26945,24.0
2021-07-27 19:07:00,1339071.0,1627412820.0,1.6274128800068058e+18,1627412880.0,1.26943,1.26947,1.26938,1.26948,25.0
2021-07-27 19:08:00,1339072.0,1627412880.0,1.627412940000058e+18,1627412940.0,1.26948,1.26954,1.26947,1.26955,31.0
2021-07-27 19:09:00,1339073.0,1627412940.0,1.6274130000050545e+18,1627413000.0,1.26953,1.26952,1.26949,1.26953,30.0
2021-07-27 19:10:00,1339074.0,1627413000.0,1.6274130600025912e+18,1627413060.0,1.26952,1.26965,1.26952,1.26965,23.0
2021-07-27 19:11:00,1339075.0,1627413060.0,1.6274131200004257e+18,1627413120.0,1.26965,1.26961,1.26959,1.26965,20.0
2021-07-27 19:12:00,1339076.0,1627413120.0,1.6274131800043955e+18,1627413180.0,1.2696,1.26965,1.2696,1.26965,7.0
2021-07-27 19:13:00,1339077.0,1627413180.0,1.6274132400009395e+18,1627413240.0,1.26965,1.26943,1.26943,1.26965,44.0
2021-07-27 19:14:00,1339078.0,1627413240.0,1.6274133000001766e+18,1627413300.0,1.26943,1.26949,1.26942,1.26957,41.0
2021-07-27 19:15:00,1339079.0,1627413300.0,1.6274133600000433e+18,1627413360.0,1.26949,1.2694,1.26937,1.26949,31.0
2021-07-27 19:16:00,1339080.0,1627413360.0,1.627413420000614e+18,1627413420.0,1.2694,1.26939,1.26938,1.26945,29.0
2021-07-27 19:17:00,1339081.0,1627413420.0,1.6274134800000479e+18,1627413480.0,1.26939,1.26919,1.26919,1.26939,31.0
2021-07-27 19:18:00,1339082.0,1627413480.0,1.6274135400190193e+18,1627413540.0,1.26919,1.26915,1.26914,1.26923,20.0
2021-07-27 19:19:00,1339083.0,1627413540.0,1.6274136000006057e+18,1627413600.0,1.26914,1.2691,1.26909,1.26917,15.0
2021-07-27 19:20:00,1339084.0,1627413600.0,1.6274136600017316e+18,1627413660.0,1.2691,1.26917,1.2691,1.2692,20.0
2021-07-27 19:21:00,1339085.0,1627413660.0,1.6274137200071946e+18,1627413720.0,1.26917,1.26923,1.26915,1.26923,17.0
2021-07-27 19:22:00,1339086.0,1627413720.0,1.627413780000457e+18,1627413780.0,1.26923,1.2692,1.26919,1.26923,16.0
2021-07-27 19:23:00,1339087.0,1627413780.0,1.6274138400004027e+18,1627413840.0,1.2692,1.26919,1.26915,1.26924,23.0
2021-07-27 19:24:00,1339088.0,1627413840.0,1.6274139000016294e+18,1627413900.0,1.26919,1.26917,1.26915,1.26921,13.0
2021-07-27 19:25:00,1339089.0,1627413900.0,1.6274139600035305e+18,1627413960.0,1.26919,1.26923,1.26919,1.26924,11.0
2021-07-27 19:26:00,1339090.0,1627413960.0,1.627414020001691e+18,1627414020.0,1.26923,1.26925,1.26923,1.26925,6.0
2021-07-27 19:27:00,1339091.0,1627414020.0,1.6274140800031293e+18,1627414080.0,1.26925,1.26915,1.26915,1.26925,15.0
2021-07-27 19:28:00,1339092.0,1627414080.0,1.6274141400043635e+18,1627414140.0,1.26915,1.26912,1.26905,1.26915,27.0
2021-07-27 19:29:00,1339093.0,1627414140.0,1.627414200000057e+18,1627414200.0,1.26912,1.26905,1.26905,1.26917,36.0
2021-07-27 19:30:00,1339094.0,1627414200.0,1.6274142600001006e+18,1627414260.0,1.26906,1.26899,1.26899,1.26909,48.0
2021-07-27 19:31:00,1339095.0,1627414260.0,1.6274143200040852e+18,1627414320.0,1.269,1.26897,1.26897,1.26901,25.0
2021-07-27 19:32:00,1339096.0,1627414320.0,1.6274143800000714e+18,1627414380.0,1.26895,1.26894,1.26889,1.26897,24.0
2021-07-27 19:33:00,1339097.0,1627414380.0,1.6274144400011528e+18,1627414440.0,1.26894,1.26896,1.26892,1.26897,16.0
2021-07-27 19:34:00,1339098.0,1627414440.0,1.627414500011697e+18,1627414500.0,1.26896,1.26901,1.26895,1.26902,12.0
2021-07-27 19:35:00,1339099.0,1627414500.0,1.6274145600037082e+18,1627414560.0,1.26901,1.26902,1.26899,1.26903,12.0
2021-07-27 19:36:00,1339100.0,1627414560.0,1.6274146200007278e+18,1627414620.0,1.26902,1.26901,1.26901,1.26903,21.0
2021-07-27 19:37:00,1339101.0,1627414620.0,1.627414680005325e+18,1627414680.0,1.26901,1.26901,1.26897,1.26903,14.0
2021-07-27 19:38:00,1339102.0,1627414680.0,1.6274147400004436e+18,1627414740.0,1.26901,1.26901,1.269,1.26901,12.0
